Data,PETR4- State,PETR4- Var%,BOVA11- State,BOVA11- Var%,ITUB4- State,ITUB4- Var%,VALE3- State,VALE3- Var%,BBAS3- State,BBAS3- Var%
27/12/17,0,0.52%,0,1.53%,0,-0.55%,0,0.03%,0,1.23%
28/12/17,0,0.32%,0,-12.39%,0,0.28%,0,0.99%,0,-0.64%
02/01/18,0,2.78%,0,-1.86%,0,3.08%,0,3.64%,0,3.48%
03/01/18,0,0.88%,0,-1.15%,0,0.69%,0,-0.60%,0,1.29%
04/01/18,0,0.19%,0,-1.14%,0,2.06%,0,0.40%,0,0.94%
05/01/18,0,0.62%,0,1.18%,0,0.30%,0,1.55%,0,0.00%
08/01/18,0,1.18%,0,1.41%,0,-0.33%,0,2.24%,0,0.23%
09/01/18,0,0.00%,0,-0.80%,0,-1.08%,0,-0.39%,0,-0.93%
10/01/18,0,-1.35%,0,-0.81%,0,-0.34%,0,-1.38%,0,-0.42%
11/01/18,0,2.67%,0,-1.06%,0,2.08%,0,1.94%,0,2.28%
12/01/18,0,0.30%,0,-0.72%,0,-0.07%,0,0.58%,0,0.22%
15/01/18,0,0.24%,0,-0.34%,0,0.63%,0,-0.17%,0,0.51%
16/01/18,0,1.74%,0,-0.47%,0,0.92%,0,-2.70%,0,0.89%
17/01/18,0,4.02%,0,-0.12%,0,1.64%,1,2.02%,0,2.35%
18/01/18,-1,-0.74%,0,0.20%,0,-0.25%,0,-0.68%,0,-0.67%
19/01/18,0,0.23%,0,-0.41%,0,0.83%,0,0.05%,0,-0.65%
22/01/18,0,1.14%,0,-0.77%,0,2.47%,0,-0.53%,0,0.34%
23/01/18,0,-0.96%,0,1.40%,0,-0.35%,0,-4.17%,0,0.37%
24/01/18,0,5.70%,0,-1.99%,0,4.83%,1,2.21%,0,7.92%
26/01/18,-1,3.07%,0,-0.10%,-1,5.44%,0,-0.82%,-1,3.11%
29/01/18,0,-0.42%,0,-0.15%,-1,-2.69%,0,1.10%,0,-0.58%
30/01/18,0,-1.79%,0,0.85%,0,-0.39%,0,-0.99%,0,-0.36%
31/01/18,0,1.07%,1,-0.74%,0,1.50%,0,-0.05%,0,2.27%
01/02/18,0,4.18%,0,0.11%,0,0.52%,0,0.80%,0,0.27%
02/02/18,0,-2.69%,0,-0.34%,0,-1.28%,0,-2.37%,0,-1.36%
05/02/18,0,-4.65%,0,1.85%,0,-3.50%,0,-1.10%,0,-2.99%
06/02/18,1,4.98%,0,-0.51%,0,3.60%,0,5.26%,0,4.39%
07/02/18,0,-2.76%,0,0.29%,0,-2.37%,-1,-1.79%,0,0.11%
08/02/18,0,-1.98%,0,7.17%,0,-0.50%,0,-0.30%,0,-3.14%
09/02/18,0,-1.48%,0,0.43%,0,0.27%,0,0.98%,0,-1.89%
14/02/18,0,2.55%,0,1.42%,0,-1.63%,0,6.00%,0,4.62%
15/02/18,0,0.76%,0,-0.23%,0,0.03%,-1,3.23%,0,-1.69%
16/02/18,0,0.11%,0,1.61%,0,0.78%,0,0.18%,0,1.00%
19/02/18,0,3.22%,0,1.87%,0,-0.77%,0,0.90%,0,-1.66%
20/02/18,0,1.98%,0,-0.62%,0,2.47%,0,-2.02%,0,2.95%
21/02/18,0,-0.92%,0,-0.39%,0,1.29%,0,-1.55%,0,0.78%
22/02/18,0,2.42%,0,-1.92%,0,0.55%,0,1.93%,0,3.11%
23/02/18,0,1.81%,0,0.73%,0,0.71%,0,0.91%,0,0.00%
26/02/18,0,1.92%,0,-0.14%,0,-0.13%,0,2.84%,0,1.46%
27/02/18,0,-0.10%,0,1.39%,0,-1.48%,0,-0.13%,0,-0.98%
28/02/18,0,-0.19%,0,0.97%,0,-3.41%,0,-4.81%,0,-1.88%
01/03/18,0,-1.99%,0,-1.08%,0,1.49%,1,-1.34%,0,0.72%
02/03/18,0,2.28%,0,-2.84%,0,0.53%,0,-1.57%,0,0.82%
05/03/18,0,2.81%,0,0.72%,0,1.40%,0,-0.12%,0,0.83%
06/03/18,0,-0.99%,0,-0.13%,0,-0.42%,0,-0.48%,0,2.21%
07/03/18,0,-1.05%,0,-0.14%,0,-0.13%,0,-0.36%,0,-0.69%
08/03/18,0,0.14%,0,1.41%,0,-0.69%,0,-3.24%,0,0.53%
09/03/18,0,3.17%,0,-2.73%,0,1.38%,0,1.54%,0,0.67%
12/03/18,0,-0.28%,0,0.59%,0,1.13%,0,0.86%,0,-0.53%
13/03/18,0,-0.98%,0,-0.75%,0,-0.81%,0,-0.78%,0,-1.26%
14/03/18,0,1.23%,0,-2.44%,0,-2.23%,0,1.12%,0,-0.86%
15/03/18,0,-4.80%,0,-0.18%,0,0.47%,0,-0.48%,0,-0.21%
16/03/18,1,0.59%,0,0.37%,0,-0.41%,0,-0.22%,0,0.02%
