Data,Último,Var%
26/02/20,101.9,-6.90%
26/03/18,82.23,0.80%
26/03/19,91.91,1.73%
26/03/20,74.57,3.96%
26/04/17,62.8,-0.32%
26/04/18,83.51,1.74%
26/04/19,92.63,-0.29%
26/05/17,61.95,1.08%
26/05/20,82.45,-0.18%
26/06/17,60.26,1.96%
26/06/18,69,0.58%
26/06/19,96.85,0.51%
26/06/20,90.22,-2.35%
26/07/17,62.81,-1.06%
26/07/18,76.62,-0.97%
26/07/19,99.15,0.35%
26/08/19,92.65,-1.46%
26/09/17,71.85,-0.07%
26/09/18,75.85,-0.04%
26/09/19,101.43,0.98%
26/10/17,73.05,-1.30%
26/10/18,82.71,2.07%
26/11/18,82.34,-0.83%
26/11/19,103.44,-0.78%
26/12/17,73.25,0.76%
26/12/18,82.14,-0.36%
26/12/19,112.81,1.02%
27/01/17,64.01,-0.30%
27/01/20,110.29,-3.25%
27/02/18,84.09,-0.74%
27/02/19,93.84,-0.30%
27/02/20,99.2,-2.65%
27/03/17,62.28,0.65%
27/03/18,80.98,-1.52%
27/03/19,88.1,-4.15%
27/03/20,70.22,-5.83%
27/04/17,62.46,-0.54%
27/04/18,83.47,-0.05%
27/04/20,75.29,3.98%
27/05/19,91.5,1.39%
27/05/20,84.68,2.70%
27/06/17,59.75,-0.85%
27/06/18,68,-1.45%
27/06/19,97.07,0.23%
27/07/17,63.05,0.38%
27/07/18,77.13,0.67%
27/07/20,100.46,1.90%
27/08/18,75.1,1.93%
27/08/19,93.65,1.08%
27/09/17,71.34,-0.71%
27/09/18,77.07,1.61%
27/09/19,101.24,-0.19%
27/10/17,73.37,0.44%
27/11/17,71.59,-0.06%
27/11/18,84.49,2.61%
27/11/19,103.68,0.23%
27/12/17,73.65,0.55%
27/12/18,82.65,0.62%
27/12/19,112.17,-0.57%
28/01/19,92.08,-2.22%
28/01/20,112.3,1.82%
28/02/18,82.5,-1.89%
28/02/19,91.85,-2.12%
28/02/20,100.6,1.41%
28/03/17,62.5,0.35%
28/03/18,81.02,0.05%
28/03/19,91.02,3.31%
28/04/17,63.19,1.17%
28/04/20,78.3,4.00%
28/05/18,72.69,-4.73%
28/05/19,92.85,1.48%
28/05/20,83.65,-1.22%
28/06/17,59.95,0.33%
28/06/18,69.4,2.06%
